id,VehicleMake,VehicleModel,VehicleManufactureYear,Year,SuggestionField
1,AC,AC TEST 1.6 5DR,20131001,2013,AC TEST 1.6 5DR 2013
2,AC,AC TEST 1.6 COUPE,20131001,2013,AC TEST 1.6 COUPE 2013
3,AC,AC F16 1.6,20140101,2014,AC F16 1.6 2014
4,AC,AC F16 1.6,20150101,2015,AC F16 1.6 2015
5,ABARTH,ABARTH ABARTH 500 1.4 3DR,20111201,2011,ABARTH ABARTH 500 1.4 3DR 2011
6,ABARTH,ABARTH ABARTH 500 1.4 3DR,20120101,2012,ABARTH ABARTH 500 1.4 3DR 2012
7,ABARTH,ABARTH ABARTH 500 1.4 3DR,20130101,2013,ABARTH ABARTH 500 1.4 3DR 2013
8,ABARTH,ABARTH ABARTH 500 1.4 3DR,20140101,2014,ABARTH ABARTH 500 1.4 3DR 2014
9,ABARTH,ABARTH ABARTH 500 1.4T (595),20150701,2015,ABARTH ABARTH 500 1.4T (595) 2015
10,ABARTH,ABARTH ABARTH 500 1.4 CABRIOLET,20120101,2012,ABARTH ABARTH 500 1.4 CABRIOLET 2012
11,ABARTH,ABARTH ABARTH 500 1.4 CABRIOLET,20130101,2013,ABARTH ABARTH 500 1.4 CABRIOLET 2013
12,ABARTH,ABARTH ABARTH 500 1.4 CABRIOLET,20140101,2014,ABARTH ABARTH 500 1.4 CABRIOLET 2014
13,ABARTH,ABARTH ABARTH 500 1.4T CABRIOLET (595),20150701,2015,ABARTH ABARTH 500 1.4T CABRIOLET (595) 2015
14,ABARTH,ABARTH ABARTH 695 1.4 TRIBUTO FERRARI 3DR,20120101,2012,ABARTH ABARTH 695 1.4 TRIBUTO FERRARI 3DR 2012
15,ABARTH,ABARTH ABARTH 695 1.4 TRIBUTO FERRARI 3DR,20130101,2013,ABARTH ABARTH 695 1.4 TRIBUTO FERRARI 3DR 2013
16,ABARTH,ABARTH ABARTH 695 1.4 TRIBUTO FERRARI 3DR,20140101,2014,ABARTH ABARTH 695 1.4 TRIBUTO FERRARI 3DR 2014
17,ABARTH,ABARTH ABARTH 695 1.4 TRIBUTO FERRARI 3DR,20150101,2015,ABARTH ABARTH 695 1.4 TRIBUTO FERRARI 3DR 2015
18,ABARTH,ABARTH PUNTO SCORPIONE,20130201,2013,ABARTH PUNTO SCORPIONE 2013
19,ALFA ROMEO,ALFA ROMEO 33 GOLD,19831001,1983,ALFA ROMEO 33 GOLD 1983
20,ALFA ROMEO,ALFA ROMEO 33 GOLD,19840101,1984,ALFA ROMEO 33 GOLD 1984
21,ALFA ROMEO,ALFA ROMEO ALFASUD 1500 SPRINT III,19830301,1983,ALFA ROMEO ALFASUD 1500 SPRINT III 1983
22,ALFA ROMEO,ALFA ROMEO ALFASUD 1500 SPRINT III,19840101,1984,ALFA ROMEO ALFASUD 1500 SPRINT III 1984
23,ALFA ROMEO,ALFA ROMEO ALFA 33 T.I.,19840701,1984,ALFA ROMEO ALFA 33 T.I. 1984
24,ALFA ROMEO,ALFA ROMEO GIULIETTA 1800,19800101,1980,ALFA ROMEO GIULIETTA 1800 1980
25,ALFA ROMEO,ALFA ROMEO GIULIETTA 1800,19810101,1981,ALFA ROMEO GIULIETTA 1800 1981
26,ALFA ROMEO,ALFA ROMEO GIULIETTA 1800,19820101,1982,ALFA ROMEO GIULIETTA 1800 1982
27,ALFA ROMEO,ALFA ROMEO GIULIETTA LUSSO,19820301,1982,ALFA ROMEO GIULIETTA LUSSO 1982
28,ALFA ROMEO,ALFA ROMEO GIULIETTA LUSSO,19830101,1983,ALFA ROMEO GIULIETTA LUSSO 1983
29,ALFA ROMEO,ALFA ROMEO GIULIETTA LUSSO,19840101,1984,ALFA ROMEO GIULIETTA LUSSO 1984
30,ALFA ROMEO,ALFA ROMEO GIULIETTA GROUP 1,19820301,1982,ALFA ROMEO GIULIETTA GROUP 1 1982
31,ALFA ROMEO,ALFA ROMEO GIULIETTA GROUP 1,19830101,1983,ALFA ROMEO GIULIETTA GROUP 1 1983
32,ALFA ROMEO,ALFA ROMEO GIULIETA 2000 TI,19821101,1982,ALFA ROMEO GIULIETA 2000 TI 1982
33,ALFA ROMEO,ALFA ROMEO GIULIETA 2000 TI,19830101,1983,ALFA ROMEO GIULIETA 2000 TI 1983
34,ALFA ROMEO,ALFA ROMEO GIULIETA 2000 TI,19840101,1984,ALFA ROMEO GIULIETA 2000 TI 1984
35,ALFA ROMEO,ALFA ROMEO 159I GOLD,19840501,1984,ALFA ROMEO 159I GOLD 1984
36,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR,20101101,2010,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR 2010
37,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR,20110101,2011,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR 2011
38,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR,20120101,2012,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR 2012
39,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR,20130101,2013,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR 2013
40,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR,20140101,2014,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR 2014
41,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR,20150101,2015,ALFA ROMEO GIULIETTA 1.4T PROGRESSION 5DR 2015
42,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR,20101101,2010,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR 2010
43,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR,20110101,2011,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR 2011
44,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR,20120101,2012,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR 2012
45,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR,20130101,2013,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR 2013
46,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR,20140101,2014,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR 2014
