id,VehicleMake,VehicleModel,VehicleManufactureYear,Year,SuggestionField
219,ALFA ROMEO,ALFA ROMEO 156 2.4 JTD LUSSO,20190101,2019,ALFA ROMEO 156 2.4 JTD LUSSO 2019
339,ALFA ROMEO,ALFA ROMEO 4C SPIDER,20151201,2015,ALFA ROMEO 4C SPIDER 2015
797,AUDI,AUDI A3 1.6 TDI S STRONIC,20151201,2015,AUDI A3 1.6 TDI S STRONIC 2015
16121,KIA,KIA SOUL 1.6 CRDI SMART DCT,20151201,2015,KIA SOUL 1.6 CRDI SMART DCT 2015
25712,OPEL,OPEL ASTRA 1.6T ENJOY PLUS,20151201,2015,OPEL ASTRA 1.6T ENJOY PLUS 2015
30472,TATA,TATA XENON XT EVOLVE 2.2 DICOR PU D/C,20151201,2015,TATA XENON XT EVOLVE 2.2 DICOR PU D/C 2015
6963,BIRKIN,BIRKIN S3 120 1.6 ROADSTER,20151101,2015,BIRKIN S3 120 1.6 ROADSTER 2015
6964,BIRKIN,BIRKIN S3 XS 120 1.6 ROADSTER,20151101,2015,BIRKIN S3 XS 120 1.6 ROADSTER 2015
6965,BIRKIN,BIRKIN S3 175  1.6 ROADSTER,20191101,2019,BIRKIN S3 175  1.6 ROADSTER 2019
6966,BIRKIN,BIRKIN S3 XS 175 1.6 ROADSTER,20151101,2015,BIRKIN S3 XS 175 1.6 ROADSTER 2015
6967,BIRKIN,BIRKIN S3 185 2.0 ROADSTER,20151101,2015,BIRKIN S3 185 2.0 ROADSTER 2015
6968,BIRKIN,BIRKIN S3 XS 185 2.0 ROADSTER,20151101,2015,BIRKIN S3 XS 185 2.0 ROADSTER 2015
6969,BIRKIN,BIRKIN S3 220 2.0 ROADSTER,20151101,2015,BIRKIN S3 220 2.0 ROADSTER 2015
6970,BIRKIN,BIRKIN S3 XS 220 2.0 ROADSTER,20151101,2015,BIRKIN S3 XS 220 2.0 ROADSTER 2015
6971,BIRKIN,BIRKIN S3 250 2.0 ROADSTER,20151101,2015,BIRKIN S3 250 2.0 ROADSTER 2015
6972,BIRKIN,BIRKIN S3 XS 250 2.0 ROADSTER,20151101,2015,BIRKIN S3 XS 250 2.0 ROADSTER 2015
8342,CITROEN,CITROEN C1 1.0 FEEL 5DR,20151101,2015,CITROEN C1 1.0 FEEL 5DR 2015
8343,CITROEN,CITROEN C1 1.0 FEEL AIRSCAPE 5DR,20151101,2015,CITROEN C1 1.0 FEEL AIRSCAPE 5DR 2015
11347,FORD,FORD FIESTA 1.0 ECOBOOST AMBIENTE 5DR,20151101,2015,FORD FIESTA 1.0 ECOBOOST AMBIENTE 5DR 2015
11525,FORD,FORD ECOSPORT 1.5TDCI TREND,20151101,2015,FORD ECOSPORT 1.5TDCI TREND 2015
11528,FORD,FORD ECOSPORT 1.5TDCI TITANIUM,20151101,2015,FORD ECOSPORT 1.5TDCI TITANIUM 2015
11637,FORD,FORD FOCUS 1.0 ECOBOOST AMBIENTE A/T 5DR,20151101,2015,FORD FOCUS 1.0 ECOBOOST AMBIENTE A/T 5DR 2015
11639,FORD,FORD FOCUS 1.0 ECOBOOST AMBIENTE A/T,20191101,2019,FORD FOCUS 1.0 ECOBOOST AMBIENTE A/T 2019
11641,FORD,FORD FOCUS 1.0 ECOBOOST TREND A/T 5DR,20151101,2015,FORD FOCUS 1.0 ECOBOOST TREND A/T 5DR 2015
11643,FORD,FORD FOCUS 1.0 ECOBOOST TREND A/T,20151101,2015,FORD FOCUS 1.0 ECOBOOST TREND A/T 2015
11914,FORD,FORD MUSTANG 2.3 ECOBOOST,20151101,2015,FORD MUSTANG 2.3 ECOBOOST 2015
11915,FORD,FORD MUSTANG 2.3 ECOBOOST A/T,20151101,2015,FORD MUSTANG 2.3 ECOBOOST A/T 2015
11916,FORD,FORD MUSTANG 2.3 ECOBOOST CONVERT A/T,20151101,2015,FORD MUSTANG 2.3 ECOBOOST CONVERT A/T 2015
11917,FORD,FORD MUSTANG 5.0 GT,20151101,2015,FORD MUSTANG 5.0 GT 2015
11918,FORD,FORD MUSTANG 5.0 GT A/T,20151101,2015,FORD MUSTANG 5.0 GT A/T 2015
11919,FORD,FORD MUSTANG 5.0 GT CONVERT A/T,20151101,2015,FORD MUSTANG 5.0 GT CONVERT A/T 2015
13685,HYUNDAI,HYUNDAI ACCENT 1.6 GLIDE,20151101,2015,HYUNDAI ACCENT 1.6 GLIDE 2015
13698,HYUNDAI,HYUNDAI ACCENT 1.6 GLIDE A/T,20151101,2015,HYUNDAI ACCENT 1.6 GLIDE A/T 2015
17703,LEXUS,LEXUS LX 5.7 V8,20151101,2015,LEXUS LX 5.7 V8 2015
17704,LEXUS,LEXUS LX 4.5TD V8,20151101,2015,LEXUS LX 4.5TD V8 2015
18852,MAZDA,MAZDA CX-3 2.0 ACTIVE,20151101,2015,MAZDA CX-3 2.0 ACTIVE 2015
18853,MAZDA,MAZDA CX-3 2.0 ACTIVE A/T,20151101,2015,MAZDA CX-3 2.0 ACTIVE A/T 2015
18854,MAZDA,MAZDA CX-3 2.0 DYNAMIC,20191101,2019,MAZDA CX-3 2.0 DYNAMIC 2019
18855,MAZDA,MAZDA CX-3 2.0 DYNAMIC A/T,20151101,2015,MAZDA CX-3 2.0 DYNAMIC A/T 2015
18856,MAZDA,MAZDA CX-3 2.0 INDIVIDUAL A/T,20151101,2015,MAZDA CX-3 2.0 INDIVIDUAL A/T 2015
21586,MERCEDES-BENZ,MERCEDES-BENZ S 500 E (HYBRID),20151101,2015,MERCEDES-BENZ S 500 E (HYBRID) 2015
22852,MINI,MINI COOPER CONVERTIBLE (F57),20151101,2015,MINI COOPER CONVERTIBLE (F57) 2015
22863,MINI,MINI COOPER CONVERTIBLE A/T (F57),20151101,2015,MINI COOPER CONVERTIBLE A/T (F57) 2015
22874,MINI,MINI COOPER S CONVERTIBLE (F57),20191101,2019,MINI COOPER S CONVERTIBLE (F57) 2019
22891,MINI,MINI COOPER S CONVERTIBLE A/T (F57),20151101,2015,MINI COOPER S CONVERTIBLE A/T (F57) 2015
25134,OPEL,OPEL ADAM 1.0T ROCKS (3DR),20151101,2015,OPEL ADAM 1.0T ROCKS (3DR) 2015
30178,SUZUKI,SUZUKI VITARA 1.6 GL,20151101,2015,SUZUKI VITARA 1.6 GL 2015
30179,SUZUKI,SUZUKI VITARA 1.6 GL+,20151101,2015,SUZUKI VITARA 1.6 GL+ 2015
30180,SUZUKI,SUZUKI VITARA 1.6 GL + ALLGRIP,20191101,2019,SUZUKI VITARA 1.6 GL + ALLGRIP 2019
30181,SUZUKI,SUZUKI VITARA 1.6 GLX A/T,20151101,2015,SUZUKI VITARA 1.6 GLX A/T 2015
30182,SUZUKI,SUZUKI VITARA 1.6 GLX ALLGRIP,20151101,2015,SUZUKI VITARA 1.6 GLX ALLGRIP 2015
32868,TOYOTA,TOYOTA RAV4 2.0 GX,20151101,2015,TOYOTA RAV4 2.0 GX 2015
