id,VehicleMake,Year
1,ALFA ROMEO,2019
2,ALFA ROMEO,2015
3,AUDI,2015
4,KIA,2015
5,OPEL,2015
6,TATA,2015
7,BIRKIN,2015
8,BIRKIN,2019
9,CITROEN,2015
10,FORD,2015
11,FORD,2019
12,HYUNDAI,2015
13,LEXUS,2015
14,MAZDA,2015
15,MAZDA,2019
16,MERCEDES-BENZ,2015
17,MINI,2015
18,MINI,2019
19,SUZUKI,2015
20,SUZUKI,2019
21,TOYOTA,2015
22,TOYOTA,2019
23,VOLKSWAGEN,2015
24,BMW,2015
25,BMW,2019
26,GWM,2015
27,NISSAN,2015
28,RENAULT,2015
29,VOLKSWAGEN,2019
30,VOLVO,2015
31,CHERY,2015
32,FIAT,2015
33,HONDA,2015
34,ISUZU,2015
35,ISUZU,2019
36,JEEP,2015
37,JEEP,2019
38,PEUGEOT,2015
39,PEUGEOT,2019
40,JAGUAR,2015
41,JAGUAR,2019
42,LAND ROVER,2015
43,LAND ROVER,2019
44,MAHINDRA,2015
45,MERCEDES-BENZ,2019
46,PORSCHE,2015
47,ABARTH,2015
48,DATSUN,2015
49,JMC,2015
50,MG,2015
51,SSANGYONG,2015
52,CHEVROLET,2015
53,DODGE,2015
54,HAJADU,2015
55,JINBEI,2015
56,SUBARU,2015
57,FAW,2015
58,AC,2015
59,ASTON,2015
60,BACKDRAFT,2015
61,B.A.W,2015
62,BENTLEY,2015
63,C.A.M,2015
64,CHANA,2015
65,CHRYSLER,2015
66,CMC,2015
67,DAIHATSU,2015
68,DFSK,2015
69,FERRARI,2015
70,FOTON,2015
71,FORCE,2015
72,GOLDEN JOURNEY,2015
73,GEELY,2015
74,HAFEI,2015
75,HAISE,2015
76,INFINITI,2015
77,KTM,2015
78,LAMBORGHINI,2015
79,LOTUS,2015
80,MASERATI,2015
81,MCLAREN,2015
82,MITSUBISHI,2015
83,MORGAN,2015
84,NANFENG,2015
85,POLARSUN,2015
86,ROLLS ROYCE,2015
87,SAIC,2015
88,SECMA,2015
89,US TRUCK,2015
90,ZOTYE,2015
91,ZX AUTO,2015
92,AUDI,2014
93,FIAT,2014
94,FORD,2014
95,LAND ROVER,2014
96,MERCEDES-BENZ,2014
97,NISSAN,2014
98,VOLKSWAGEN,2014
99,CMC,2014
100,CITROEN,2014
101,FOTON,2014
102,GWM,2014
103,HYUNDAI,2014
104,INFINITI,2014
