id,VehicleMake,VehicleModel,Year
1,ALFA ROMEO,ALFA ROMEO 156 2.4 JTD LUSSO,2019
2,ALFA ROMEO,ALFA ROMEO 4C SPIDER,2015
3,AUDI,AUDI A3 1.6 TDI S STRONIC,2015
4,KIA,KIA SOUL 1.6 CRDI SMART DCT,2015
5,OPEL,OPEL ASTRA 1.6T ENJOY PLUS,2015
6,TATA,TATA XENON XT EVOLVE 2.2 DICOR PU D/C,2015
7,BIRKIN,BIRKIN S3 120 1.6 ROADSTER,2015
8,BIRKIN,BIRKIN S3 XS 120 1.6 ROADSTER,2015
9,BIRKIN,BIRKIN S3 175  1.6 ROADSTER,2019
10,BIRKIN,BIRKIN S3 XS 175 1.6 ROADSTER,2015
11,BIRKIN,BIRKIN S3 185 2.0 ROADSTER,2015
12,BIRKIN,BIRKIN S3 XS 185 2.0 ROADSTER,2015
13,BIRKIN,BIRKIN S3 220 2.0 ROADSTER,2015
14,BIRKIN,BIRKIN S3 XS 220 2.0 ROADSTER,2015
15,BIRKIN,BIRKIN S3 250 2.0 ROADSTER,2015
16,BIRKIN,BIRKIN S3 XS 250 2.0 ROADSTER,2015
17,CITROEN,CITROEN C1 1.0 FEEL 5DR,2015
18,CITROEN,CITROEN C1 1.0 FEEL AIRSCAPE 5DR,2015
19,FORD,FORD FIESTA 1.0 ECOBOOST AMBIENTE 5DR,2015
20,FORD,FORD ECOSPORT 1.5TDCI TREND,2015
21,FORD,FORD ECOSPORT 1.5TDCI TITANIUM,2015
22,FORD,FORD FOCUS 1.0 ECOBOOST AMBIENTE A/T 5DR,2015
23,FORD,FORD FOCUS 1.0 ECOBOOST AMBIENTE A/T,2019
24,FORD,FORD FOCUS 1.0 ECOBOOST TREND A/T 5DR,2015
25,FORD,FORD FOCUS 1.0 ECOBOOST TREND A/T,2015
26,FORD,FORD MUSTANG 2.3 ECOBOOST,2015
27,FORD,FORD MUSTANG 2.3 ECOBOOST A/T,2015
28,FORD,FORD MUSTANG 2.3 ECOBOOST CONVERT A/T,2015
29,FORD,FORD MUSTANG 5.0 GT,2015
30,FORD,FORD MUSTANG 5.0 GT A/T,2015
31,FORD,FORD MUSTANG 5.0 GT CONVERT A/T,2015
32,HYUNDAI,HYUNDAI ACCENT 1.6 GLIDE,2015
33,HYUNDAI,HYUNDAI ACCENT 1.6 GLIDE A/T,2015
34,LEXUS,LEXUS LX 5.7 V8,2015
35,LEXUS,LEXUS LX 4.5TD V8,2015
36,MAZDA,MAZDA CX-3 2.0 ACTIVE,2015
37,MAZDA,MAZDA CX-3 2.0 ACTIVE A/T,2015
38,MAZDA,MAZDA CX-3 2.0 DYNAMIC,2019
39,MAZDA,MAZDA CX-3 2.0 DYNAMIC A/T,2015
40,MAZDA,MAZDA CX-3 2.0 INDIVIDUAL A/T,2015
41,MERCEDES-BENZ,MERCEDES-BENZ S 500 E (HYBRID),2015
42,MINI,MINI COOPER CONVERTIBLE (F57),2015
43,MINI,MINI COOPER CONVERTIBLE A/T (F57),2015
44,MINI,MINI COOPER S CONVERTIBLE (F57),2019
45,MINI,MINI COOPER S CONVERTIBLE A/T (F57),2015
46,OPEL,OPEL ADAM 1.0T ROCKS (3DR),2015
47,SUZUKI,SUZUKI VITARA 1.6 GL,2015
48,SUZUKI,SUZUKI VITARA 1.6 GL+,2015
49,SUZUKI,SUZUKI VITARA 1.6 GL + ALLGRIP,2019
50,SUZUKI,SUZUKI VITARA 1.6 GLX A/T,2015
51,SUZUKI,SUZUKI VITARA 1.6 GLX ALLGRIP,2015
52,TOYOTA,TOYOTA RAV4 2.0 GX,2015
53,TOYOTA,TOYOTA RAV4 2.0 GX A/T,2015
54,TOYOTA,TOYOTA RAV4 2.2D GX,2019
55,TOYOTA,TOYOTA RAV4 2.2D VX AT,2015
56,TOYOTA,TOYOTA RAV4 2.5 VX AT,2015
57,VOLKSWAGEN,VOLKSWAGEN JETTA GP 1.6 CONCEPTLINE,2015
58,AUDI,AUDI RS3 SPORTBACK STRONIC,2015
59,AUDI,AUDI TTS QUATTRO COUPE S TRONIC,2015
60,BMW,BMW 320I 40YR EDITION (F30),2015
61,BMW,BMW 320I 40YR EDITION A/T (F30),2015
62,BMW,BMW 320D 40YR EDITION (F30),2019
63,BMW,BMW 320D 40YR EDITION A/T (F30),2015
64,BMW,BMW 330I 40YR EDITION (F30),2015
65,BMW,BMW 330I 40YR EDITION A/T (F30),2015
66,BMW,BMW 330D 40YR EDITION A/T (F30),2015
67,BMW,BMW 340I 40YR EDITION A/T (F30),2015
68,FORD,FORD FIGO 1.5 AMBIENTE (5DR),2015
69,FORD,FORD FIGO 1.5 TREND (5DR),2015
70,FORD,FORD FIGO 1.5 TITANIUM (5DR),2019
71,FORD,FORD FIGO 1.5 TITANIUM POWERSHIFT (5DR),2015
72,FORD,FORD FIGO 1.5 TDCI AMBIENTE  (5DR),2015
73,FORD,FORD FIGO 1.5 TDCI  TREND (5DR),2015
74,FORD,FORD FIGO 1.5  AMBIENTE,2015
75,FORD,FORD FIGO 1.5 TREND,2015
76,FORD,FORD FIGO 1.5 TITANIUM POWERSHIFT,2015
77,FORD,FORD RANGER 2.2TDCI L/R P/U C/C,2019
78,FORD,FORD RANGER 2.2TDCI L/R P/U S/C,2015
79,FORD,FORD RANGER 2.2TDCI XL P/U S/C,2015
80,FORD,FORD RANGER 2.2TDCI XL 4X4 P/U S/C,2015
81,FORD,FORD RANGER 2.2TDCI XL PLUS 4X4 P/U C/C,2015
82,FORD,FORD RANGER 2.2TDCI XL PLUS 4X4 P/U S/C,2015
83,FORD,FORD RANGER 2.2TDCI XLS P/U S/C,2015
84,FORD,FORD RANGER 2.2TDCI XLS 4X4 P/U S/C,2015
85,FORD,FORD RANGER 2.2TDCI P/U SUP/CAB,2015
86,FORD,FORD RANGER 2.2TDCI XL P/U SUP/CAB,2015
87,FORD,FORD RANGER 2.2TDCI XL 4X4 P/U SUP/CAB,2015
88,FORD,FORD RANGER 2.2TDCI P/U D/C,2015
89,FORD,FORD RANGER 2.2TDCI XL P/U D/C,2015
90,FORD,FORD RANGER 2.2TDCI XL 4X4 P/U D/C,2015
91,FORD,FORD RANGER 2.2TDCI XL PLUS 4X4 P/U D/C C/C,2015
92,FORD,FORD RANGER 2.2TDCI XL PLUS 4X4 P/U D/C,2015
93,FORD,FORD RANGER 2.2TDCI XLS P/U D/C,2015
94,FORD,FORD RANGER 2.2TDCI XLS 4X4 P/U D/C,2015
95,FORD,FORD RANGER 2.2TDCI XLT P/U D/C,2015
