ID,NAME,VEH_TYPE_ID
16211,GTA,13665
16212,PREMIUM,13665
16213,TWIN SPARK,13665
16203,TWIN SPARK,13660
16204,GTA,13660
16217,STD,13669
16218,TI,13669
16219,TI TOP,13669
24465,JTS Q4,13669
16220,STD,13670
16221,STD,13671
16222,LAUNCH EDITION,13671
16214,STD,13666
16215,STD,13667
16210,STD,13664
25536,SUPER,25535
25537,STD,25535
16197,PREMIUM,13659
16198,EXCLUSIVE,13659
16199,DISTINCTIVE,13659
16200,QV,13659
16201,QV MID,13659
16202,QV+,13659
16205,STD,13661
16216,STD,13668
16206,STD,13662
16207,PROGRESSION,13662
16208,DISTINCTIVE,13662
16209,SPORT,13663
18597,FALCON,18204
24940,LUXURY,17822
25138,COMFORT,17822
27458,STD,20892
16177,VANTAGE VOLANTE,13649
16178,VANTAGE,13649
16179,VOLANTE,13650
16180,STD,13650
16194,STD,13657
16195,VOLANTE,13657
16196,STD,13658
16181,STD,13651
16187,STD,13654
16191,S,13656
16192,Q BESPOKE EDITION,13656
16193,STD,13656
16188,STD,13655
16189,S,13655
16190,VOLANTE,13655
16183,N420,13653
16184,S,13653
16185,STD,13653
16186,N430,13653
16182,STD,13652
23579,VOLANTE,13652
16286,ATTRACTION S-LINE,13684
16287,30 TFSI AMBITION,13684
16288,ATTRACTION,13684
16289,AMBITION S-LINE,13684
16290,40 TFSI AMBITION,13684
16291,AMBITION,13684
16310,AMBITTION 40 TFSI S-LINE,13691
16311,AMBITION 30 TFSI,13691
16312,30 TFSI,13691
16313,40 TFSI,13691
16314,S-Line,13691
16315,ATTRACTION 30 TFSI,13691
16316,AMBITION 30 TFSI S-LINE,13691
16317,AMBITION 40 TFSI,13691
16318,STD,13691
16319,ATTRACTION 30 TFSI S-LINE,13691
19968,35 TFSI,13691
16268,25 TFSI,13681
16269,50 TFSI S-LINE,13681
16270,STD,13681
16271,50 TFSI,13681
16272,35 TFSI,13681
16273,45 TFSI,13681
16274,45 TFSI S-LINE,13681
16275,25 TFSI S-LINE,13681
16276,S-Line,13681
19962,30 TFSI,13681
16293,STD,13686
16294,S-Line,13686
16295,35 TFSI S-LINE,13686
16296,45 TFSI S-LINE,13686
16297,35 TFSI,13686
16298,45 TFSI,13686
16299,50 TFSI S-LINE,13686
16300,50 TFSI,13686
16301,45 TFSI BLACK SPORT EDITION,13686
