ID,NAME,VEH_MAKE_ID
13665,147,13550
13660,156,13550
13669,159,13550
13670,166,13550
13671,4C,13550
13666,8C COMPETIZIONE COUPE ,13550
13667,8C SPIDER,13550
13664,BRERA,13550
25535,GIULIA,13550
13659,GIULIETTA,13550
13661,GT,13550
13668,GTV,13550
13662,MITO,13550
13663,SPIDER,13550
18204,FALCON,17821
17822,LEYLAND BUS,17821
20892,OYSTER,17821
13649,DB7,13549
13650,DB9,13549
13657,DBS,13549
13658,ONE-77 ,13549
13651,RAPIDE,13549
13654,RAPIDE S,13549
13656,V12 VANTAGE,13549
13655,VANQUISH,13549
13653,VANTAGE,13549
13652,VIRAGE,13549
13684,A1,13551
13691,A3,13551
13681,A4,13551
13686,A5,13551
13679,A6,13551
13689,A7,13551
13683,A8,13551
13694,Q3,13551
13692,Q5,13551
13675,Q7,13551
25740,Q8,13551
13678,R8,13551
13688,R8 SPYDER,13551
13677,RS4,13551
13685,RS5,13551
13693,RS6,13551
13680,RS7,13551
13673,S3,13551
13672,S4,13551
13687,S5,13551
13674,S6,13551
13682,S7,13551
13690,S8,13551
13676,TT,13551
17993,C300X4,17992
18338,LOADER,18337
23458,A115,13647
23552,A520T,13647
17935,FK150,17934
25589,3000DR,25588
13699,ARN/AGE,13553
13698,AZURE,13553
23542,BENTAYGA,13553
13697,BROOKLANDS,13553
13700,CONTINENTAL,13553
13696,FLYING SPUR,13553
18061,GT,13553
13695,MULSANNE,13553
13719,728,13554
13717,116i,13554
13770,118i,13554
13756,120i,13554
13754,125i,13554
13715,130i,13554
13769,135i,13554
13744,1M,13554
13763,218i ACTIVE TOURER,13554
13784,220i,13554
13764,225i ACTIVE TOURER,13554
13718,228i,13554
23568,235i,13554
13783,3 Series GT,13554
13758,316i,13554
13709,318Ci,13554
13750,318i,13554
13704,320Ci,13554
13737,320i,13554
13727,323i,13554
13747,325Ci,13554
13766,325i,13554
13730,325Xi,13554
13742,328i,13554
13721,330Ci,13554
13701,330i,13554
13722,330Xi,13554
13713,335Ci,13554
13748,335i,13554
13787,340i,13554
13732,420i,13554
13734,420I GRAN COUPE,13554
13773,428i,13554
13731,428I GRAN COUPE,13554
21248,430i,13554
13710,435i,13554
13733,435I GRAN COUPE,13554
23521,440i,13554
13760,5 Series GT,13554
13712,520i,13554
17820,520IA,13554
13708,523i,13554
13746,525i,13554
13738,528i,13554
13724,530i,13554
13743,530Li,13554
13714,535i,13554
13779,540i,13554
13775,545i,13554
13778,550i,13554
13767,630i,13554
13781,640i,13554
13759,640i GRAN COUPE,13554
13765,645Ci,13554
13771,650i,13554
13726,650i GRAN COUPE,13554
13762,728iL,13554
13768,730i,13554
13739,730LI,13554
13716,735i,13554
13752,735iL,13554
13728,735Li,13554
13777,740i,13554
13757,740Li,13554
13729,745i,13554
13772,745Li,13554
13702,750i,13554
13705,750Li,13554
13720,760Li,13554
13776,840Ci,13554
13736,850Ci,13554
13711,ALPIN/A,13554
25851,I3,13554
13786,I8,13554
18174,LI 730,13554
13745,M235i,13554
25616,M240i,13554
13707,M3,13554
13774,M4,13554
13761,M5,13554
13723,M6,13554
13753,M6 Gran Coupe,13554
13780,X1,13554
13740,X3,13554
13785,X4,13554
13755,X5,13554
13725,X5 M,13554
13703,X6,13554
13741,X6 M,13554
13749,Z3,13554
13751,Z3M,13554
13706,Z4,13554
13735,Z4M,13554
13782,Z8,13554
18059,S130,18058
18353,S150,18058
25250,S450B,18058
14491,H530,13641
14459,VEYRON,13620
18157,ROADMASTER,18156
13789,F3,13555
13790,F3-AT,13555
13791,F3R,13555
13788,F6,13555
13793,ATS,13556
13801,ATS-V,13556
13796,BLS,13556
13806,CATERA,13556
20711,CT6,13556
13799,CTS,13556
13803,CTS-V,13556
13805,DEVILLE,13556
13800,DTS,13556
13792,ESCALADE,13556
13802,SLS,13556
13795,SRX,13556
13797,STS,13556
13798,STS-V,13556
13794,XLR,13556
20733,XT5,13556
13804,XTS,13556
18080,921E,18079
18078,216,17916
17918,422,17916
17917,424,17916
17927,B226,17916
21208,DP50,17916
18035,FORKLIFT,17916
17959,G966,17916
18036,SHOVEL,17916
18038,SKEED LOADER,17916
18037,WHEEL LOADER,17916
13826,E5,13561
13828,E8,13561
13829,EASTAR,13561
13830,QQ,13561
13831,QQ3,13561
13825,TIGGO,13561
13827,WINDCLOUD,13561
13850,ASTRO,13562
13839,AVALANCHE,13562
13842,AVEO,13562
13847,AVEO-5,13562
13857,BARIN/A,13562
13861,BLAZER,13562
13841,CAMARO,13562
13843,CAPRICE,13562
13836,CAPTIVA,13562
13833,CAVALIER,13562
17883,CHEVROLET CHEV,13562
13856,COLORADO,13562
13858,CORVETTE,13562
13840,CRUZE,13562
13859,CSV,13562
13846,EPICA,13562
21068,EQUINOX,13562
13862,EXPRESS,13562
13834,IMPALA,13562
13860,LUMIN/A,13562
13852,MALIBU,13562
13845,OPTRA,13562
17926,PICK UP,13562
13837,SILVERADO,13562
13849,SONIC,13562
13848,SPARK,13562
13855,SSR,13562
13844,SUBURBAN,13562
13838,TAHOE,13562
13851,TRAILBLAZER,13562
13853,TRAVERSE,13562
13854,TRAX,13562
13835,UPLANDER,13562
13832,VENTURE,13562
13808,200C,13557
13813,300C,13557
13809,300M,13557
13811,CONCORDE,13557
13812,CROSSFIRE,13557
13807,GRAND VOYAGER,13557
13810,NEON,13557
17920,PLYMOUTH ,13557
13815,PT CRUISER,13557
13814,SEBRING,13557
13821,C3,13558
13817,C4,13558
13818,C5,13558
13823,C6,13558
13820,C-ELYSEE,13558
13822,DS3,13558
13816,DS4,13558
13819,DS5,13558
18213,VERYCA,13559
13824,Z7,13559
18618,COBUS,18617
21148,3434,13565
18019,BUS,13565
23477,CHARADE,13563
18049,DELTA,13563
19053,GRAND MAX,13563
13863,MATERIA,13563
18056,PICK UP,13563
17942,ROCKY,13563
13864,SIRION,13563
13865,TERIOS,13563
13866,YRV,13563
13868,AVENGER,13564
13877,CALIBER,13564
13872,CHALLENGER,13564
13871,CHARGER,13564
13867,DAKOTA,13564
13870,DART,13564
17922,DONGFENG,13564
13869,DURANGO,13564
13874,INTREPID,13564
13878,NEON,13564
13873,NITRO,13564
13876,RAM,13564
13875,VIPER,13564
17976,FORKLIFT,17975
18089,PICK UP,18088
13893,308,13566
13881,612,13566
13891,360 MODEN/A,13566
13879,360 MODEN/A F1,13566
13887,458 ITALIA,13566
13888,488 GTB,13566
13885,550 BARCHETTA,13566
13880,550 MARANELLO,13566
13890,CALIFORNIA,13566
13883,F12,13566
13889,F430,13566
13892,F575M,13566
13886,F575M F1,13566
13882,F599,13566
13884,FF,13566
