id,nationality
1,Abkhazians
2,Afghan
3,Albanian
4,Algerian
5,American Samoan
6,American
7,Andorran
8,Angolan
9,Anguillan
10,Antiguan
11,Argentinian
12,Armenian
13,Aruban
14,Australian
15,Austrian
16,Azerbaijani
17,Bahamian
18,Bahraini
19,Bangladeshi
20,Barbadian
21,Basotho
22,Belarusian
23,Belgian
24,Belizean
25,Beninese
26,Bermudian
27,Bhutanese
28,Bolivian
29,Bosnian
30,Brazilian
31,British
32,British Virgin Island
33,Bruneian
34,Bulgarian
35,Burkinabe
36,Burmese
37,Burundian
38,Cambodian
39,Cameroonian
40,Canadian
41,Cape Verdean
42,Caymanian
43,Central African
44,Chadian
45,Chilean
46,Chinese
47,Cocos Island
48,Colombian
49,Comorian
50,Congolese
51,Cook Island
52,Costa Rican
53,Croatian
54,Cuban
55,Cypriot
56,Czech
57,Danish
58,Djiboutian
59,Dominican
60,Dutch
61,Ecuadorian
62,Egyptian
63,Emirati
64,English
65,Equatorial Guinean
66,Eritrean
67,Estonian
68,Ethiopian
69,Falkland Island
70,Faroese
71,Fijian
72,Finnish
73,French
74,French Guianese
75,French Polynesian
76,Gabonese
77,Gambian
78,Georgian
79,German
80,Ghanaian
81,Gibraltar
82,Greek
83,Greenlandic
84,Grenadian
85,Guadeloupe
86,Guamanian
87,Guatemalan
88,Guinean
89,Guinean
90,Guyanese
91,Haitian
92,Honduran
93,Hongkongese
94,Hungarian
95,I-Kiribati
96,Icelandic
97,Indian
98,Indonesian
99,Iranian
100,Iraqi
101,Irish
102,Irish
103,Israeli
104,Italian
105,Ivorian
106,Jamaican
107,Japanese
108,Jordanian
109,Kazakhstani
110,Kenyan
111,Kittitian
112,Kosovar
113,Kuwaiti
114,Kyrgyzstani
115,Laotian
116,Latvian
117,Lebanese
118,Liberian
119,Libyan
120,Liechtenstein
121,Lithuanian
122,Luxembourgish
123,Chinese
124,Macedonian
125,Mahoran
126,Malagasy
127,Malawian
128,Malaysian
129,Maldivian
130,Malian
131,Maltese
132,Manx
133,Marshallese
134,Martiniquais
135,Mauritanian
136,Mauritian
137,Mexican
138,Micronesian
139,Moldovan
140,Mongolian
141,Montenegrin
142,Montserratian
143,Monégasque
144,Moroccan
145,Motswana
146,Mozambican
147,Namibian
148,Nauruan
149,Nepalese
150,New Caledonian
151,New Zealand
152,Ni-Vanuatu
153,Nicaraguan
154,Nigerian
155,Nigerien
156,Niuean
157,none
158,North Korean
159,Northern Irish
160,Northern Marianan
161,Norwegian
162,Omani
163,Pakistani
164,Palauan
165,Palestinian
166,Panamanian
167,Papua New Guinean
168,Paraguayan
169,Peruvian
170,Philippine
171,Pitcairn Island
172,Polish
173,Portuguese
174,Puerto Rican
175,Qatari
176,Romanian
177,Russian
178,Rwandan
179,Reunionese
180,Sahraw
181,Saint-Pierrais
182,Salvadoran
183,Sammarinese
184,Samoan
185,Saudi
186,Scottish
187,See Taiwan
188,Senegalese
189,Serbian
190,Seychellois
191,Sierra Leonean
192,Singaporean
193,Slovak
194,Slovenian
195,Solomon Island
196,Somali
197,South African
198,South Korean
199,South Ossetian
200,South Sudanese
201,Spanish
202,Sri Lankan
203,St. Helenian
204,St. Lucian
205,St. Vincentian
206,Sudanese
207,Surinamese
208,Swazi
209,Swedish
210,Swiss
211,Syrian
212,Săo Toméan
213,Taiwanese
214,Tajikistani
215,Tanzanian
216,Thai
217,Timorese
218,Togolese
219,Tongan
220,Trinidadian
221,Tunisian
222,Turkish
223,Turkmen
224,Tuvaluan
225,Ugandan
226,Ukrainian
227,Uruguayan
228,Uzbekistani
229,Venezuelan
230,Vietnamese
231,Virgin Island
232,Wallisian
233,Welsh
234,Yemeni
235,Zambian
236,Zimbabwean
