id,nationality
1,Afghanistan
2,Albania
3,Algeria
4,American Samoa
5,Andorra
6,Angola
7,Anguilla
8,Antarctica
9,Antigua And Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Australia
14,Austria
15,Azerbaijan
16,Bahamas
17,Bahrain
18,Bangladesh
19,Barbados
20,Belarus
21,Belgium
22,Belize
23,Benin
24,Bermuda
25,Bhutan
26,Bolivia
27,Bosnia And Herzegowina
28,Botswana
29,Bouvet Island
30,Brazil
31,British Indian Ocean Territory
32,Brunei Darussalam
33,Bulgaria
34,Burkina Faso
35,Burundi
36,Cambodia
37,
38,Cameroon
39,Canada
40,Canary Islands
41,Cape Verde
42,Cayman Islands
43,Central African Republic
44,Chad
45,Chile
46,China
47,Christmas Island
48,Cis Countries
49,Cocos (Keeling) Islands
50,Colombia
51,Comoros
52,Congo
53,Cook Islands
54,Costa Rica
55,Cote D'Ivoire
56,Cotecna
57,Croatia
58,Cuba
59,Cyprus
60,Czech Republic
61,Denmark
62,Djibouti
63,Dominica
64,Dominican Republic
65,East Timor
66,Ecuador
67,Egypt
68,El Salvador
69,Equatorial Guinea
70,Eritrea
71,Estonia
72,Ethiopia
73,Europe
74,Falkland Islands (Malvinas)
75,Faroe Islands
76,Fiji
77,Finland
78,France
79,"France, Metropolitan"
80,French Guiana
81,French Polynesia
82,French Southern Territories
83,Gabon
84,Gambia
85,Gcc Countries
86,Georgia
87,Germany
88,Ghana
89,Gibraltar
90,Greece
91,Greenland
92,Grenada
93,Guadeloupe
94,Guam
95,Guatemala
96,Guinea
97,Guinea-Bissau
98,Guyana
99,Haiti
100,Heard And Mc Donald Islands
101,Honduras
102,Hongkong
103,Hungary
104,Iceland
105,India
106,Indonesia
107,Iran
108,Iraq
109,Ireland
110,Italy
111,Ivory Coast
112,Jamaica
113,Japan
114,Jordan
115,Kazakhstan
116,Kenya
117,Kiribati
118,Korea
119,"Korea, Democratic People'S Republic Of"
120,"Korea, Republic Of"
121,Kuwait
122,Kyrgyzstan
123,Lao People'S Democratic Republic
124,Latvia
125,Lebanon
126,Lesotho
127,Liberia
128,Libyan Arab Jamahiriya
129,Liechtenstein
130,Lithuania
131,Lloyd'S
132,Luxembourg
133,Macau
134,"Macedonia, The Former Yugoslav Republic Of"
135,Madagascar
136,Malawi
137,Malaysia
138,Maldives
139,Mali
140,Malta
141,Marshall Islands
142,Martinique
143,Mauritania
144,Mauritius
145,Mayotte
146,Mexico
147,"Micronesia, Federated States Of"
148,Middle East Arab Counitries
149,"Moldova, Republic Of"
150,Monaco
151,Mongolia
152,Montenegro
153,Montserrat
154,Morocco
155,Mozambique
156,Myanmar
157,Namibia
158,Nauru
159,Nepal
160,Netherlands
161,Netherlands Antilles
162,New Caledonia
163,New Zealand
164,Nicaragua
165,Niger
166,Nigeria
167,Niue
168,Norfolk Island
169,Northern Mariana Islands
170,Norway
171,Oman
172,Pakistan
173,Palau
174,Palestine
175,Panama
176,Papua New Guinea
177,Paraguay
178,Peru
179,Philippines
180,Pitcairn
181,Poland
182,Portugal
183,Puerto Rico
184,Qatar
185,Reunion
186,Romania
187,Russian Federation
188,Rwanda
189,Saint Kitts And Nevis
190,Saint Lucia
191,Saint Vincent And The Grenadines
192,Samoa
193,San Marino
194,Sao Tome And Principe
195,Saudi Arabia
196,Senegal
197,Serbia
198,Seychelles
199,Sierra Leone
200,Singapore
201,Slovakia (Slovak Republic)
202,Slovenia
203,Solomon Islands
204,Somalia
205,South Africa
206,Spain
207,Sri Lanka
208,St. Helena
209,St. Pierre And Miquelon
210,Sudan
211,Suriname
212,Svalbard And Jan Mayen Islands
213,Swaziland
214,Sweden
215,Switzerland
216,Syria
217,Syrian Arab Republic
218,Taiwan
219,Tajikistan
220,"Tanzania, United Republic Of"
221,Thailand
222,Togo
223,Tokelau
224,Tonga
225,Trinidad And Tobago
226,Tunisia
227,Turkey
228,Turkmenistan
229,Turks And Caicos Islands
230,Tuvalu
231,U.K.
232,Uganda
233,Ukraine
234,United Arab Emirates
235,United Kingdom
236,United States Minor Outlying Islands
237,Unknown
238,Uruguay
239,United States of America
240,Uzbekistan
241,Vanuatu
242,Vatican City State (Holy See)
243,Venezuela
244,Viet Nam
245,Virgin Islands (British)
246,Virgin Islands (U.S.)
247,Wallis And Futuna Islands
248,Western Sahara
249,Worldwide
250,Yemen
251,Yugoslavia
252,Zaire
253,Zambia
254,Zimbabwe
