id,VehicleModel,VehicleBody
1,Trailer,Trailer
2,Truck,Trailer Head
3,Truck,Truck
4,Truck,Truck Head
5,Nsx,Convertible
6,Nsx,Coupe
7,Tractor,Tractor
8,Tractor,Truck
9,Sewage Tanker,Sewarage Tanker
10,Tanker Trailer,Recovery Trailer
11,E850,Roller
12,145,Saloon
13,156,Sedan
14,156,Station
15,159,Sedan
16,4c,Coupe
17,8c,Coupe
18,Brera,Coupe
19,Giulietta,Hatchback
20,Giulietta,Saloon
21,Gt,Coupe
22,Mito,Hatchback
23,Spider,Coupe
24,Unknown,Sedan
25,Unknown,SUV
26,Arx 23,Roller
27,Asc 100,Drum Roller
28,Well Excavator,Well Excavator
29,Motor Cycle,Mobike
30,Atom,Coupe
31,Avia D756 P/Up,Pick-Up
32,Eagle,Mini Bus
33,Falcon,Bus
34,Oyster,Bus
35,Pick-Up,Pick-Up
36,Truck,Refrigerator Truck
37,Viking Bus,Bus
38,Wb 222,Bus
39,Db7,Convertible
40,Db7,Coupe
41,Db9,Convertible
42,Db9,Coupe
43,Dbs,Convertible
44,Dbs,Coupe
45,Dbs Superleggera,Coupe
46,Lagonda,Sedan
47,One 77,Coupe
48,Rapide,Coupe
49,Rapide,Sedan
50,Rapide S,Sedan
51,Unknown,Coupe
52,V12 Vantage,Coupe
53,Vanguish,Coupe
54,Vanquish,Convertible
55,Vanquish,Coupe
56,Vantage,Convertible
57,Vantage,Coupe
58,Vantage,Saloon
59,Vantage Roadster,Coupe
60,Copco,Drilling Rig
61,Excavator,Drum Roller
62,Excavator,Excavator
63,Flat Bed Semi Trailer,Flat Bed
64,Flat Bed Semi Trailer,Trailer
65,Tanker Trailer,Trailer
66,Tipper Trailer,Trailer
67,Vehicle Trailer,Others
68,Vehicle Trailer,Trailer
69,Vehicle Trailer,Trailer Lowbed
70,100,Saloon
71,A1,Coupe
72,A1,Hatchback
73,A1,Saloon
74,A3,Cabriolet
75,A3,Hatchback
76,A3,Sedan
77,A4,Convertible
78,A4,Saloon
79,A4,Sedan
80,A5,Cabriolet
81,A5,Convertible
82,A5,Coupe
83,A5,Hatchback
84,A5,Saloon
85,A5,Sedan
86,A5 Sportback,Unknown
87,A6,Estate
88,A6,Saloon
89,A6,Sedan
90,A6,Unknown
91,A7,Hatchback
92,A7,Saloon
93,A7,Sedan
94,A8,Coupe
95,A8,Saloon
96,A8,Sedan
97,A8,Unknown
98,A8l,Saloon
99,A8l,Sedan
100,Q3,Station
101,Q3,SUV
102,Q5,SUV
103,Q7,SUV
104,Q7,Unknown
105,R8,Convertible
106,R8,Coupe
107,R8 Spyder,Convertible
108,Rs 6,Sedan
109,Rs3,Hatchback
110,Rs3,Saloon
111,Rs3,Sedan
112,Rs4,Estate
113,Rs4,Saloon
114,Rs4,Sedan
115,Rs5,Coupe
116,Rs6,Estate
117,Rs6,Saloon
118,Rs7,Coupe
119,Rs7,Hatchback
120,Rs7,Sedan
121,Rsq3,SUV
122,S3,Hatchback
123,S3,Sedan
124,S4,Sedan
125,S5,Cabriolet
126,S5,Coupe
127,S5,Hatchback
128,S6,Saloon
129,S6,Sedan
130,S7,Saloon
131,S7,Sedan
132,S8,Saloon
133,S8,Sedan
134,S8,Unknown
135,Sq5,SUV
136,Tt,Convertible
137,Tt,Coupe
138,Tt,Unknown
139,Tt Roadster,Coupe
140,Tts Roadster,Coupe
141,Dumber,Dumper
142,Dumber,Fork Lift
143,Dumber,Truck
144,Forklift,Forklift
145,Mono,Race Car
146,A115,Sedan
147,135cc,Mobike
148,200cc,Mobike
149,220 Cc,Mobike
150,Avenger,Mobike
151,Cc 125,Mobike
152,Cc 150,Mobike
153,Cc 180,Mobike
154,Pulsar,Mobike
155,Pulsar,Pick-Up
156,Drilling Rig,Drilling Rig
157,Driller,Drilling Rig
158,Pick Up,Pick-Up
159,Pick Up,Unknown
160,Service Truck,Excavator
161,Truck,Drilling Rig
162,Water Tanker,Water Tanker
163,1936 S,Trailer
164,B40d,Dumper
165,Arnage,Sedan
166,Arnage R,Coupe
167,Azure,Convertible
168,Azure,Coupe
169,Azure,Saloon
170,Bentayga,Station Wagon
171,Bentayga,SUV
172,Brooklands,Coupe
173,Brooklands,Saloon
