id,VehicleMake
1,3T
2,Actors
3,Acura
4,Agriculture
5,Al Jazeera
6,Al Shirawi
7,Albert
8,Alfa Romeo
9,Ammann
10,Angrsol
11,Aprilia
12,Ariel
13,Ashok Leyland
14,Aston Martin
15,Astra
16,Atlas
17,Audi
18,Ausa
19,Awm
20,Bac
21,Baic
22,Bajaj
23,Baoli
24,Bauer
25,Bedford
26,Bei Ben
27,Bell
28,Bentley
29,Big Bear Athena Chopper
30,Blue Bird
31,Bmw
32,Bobcat
33,Bomag
34,Bonluck
35,Borgward
36,Brilliance
37,Bugatti
38,Buick
39,Cadillac
40,Can-Am Spyder
41,Casagrande
42,Case
43,Cat
44,Cat Wheel
45,Caterham
46,Caterpillar
47,Changan
48,Chery
49,Chevrolet
50,Chrysler
51,Citroen
52,Clark
53,Cmc
54,Combilift
55,Conqueror
56,Crawler
57,D A F
58,Daewoo
59,Daihatsu
60,Dalian
61,Datsun
62,Deere
63,Demag
64,Dfsk
65,Dieci
66,Dodge
67,Dong Feng
68,Doosan
69,Dosan
70,Ducati
71,Dulevo
72,Dumper
73,Dynapac
74,E P
75,Eicher
76,Escorts
77,Euro
78,Falcon
79,Fantuzzi
80,Faun
81,Faw
82,Ferrari
83,Fiat
84,Fiat Burstner
85,Fisker
86,Flat
87,Force
88,Ford
89,Forest River
90,Forklift
91,Fosun
92,Foton
93,Freight Liner
94,Fushun
95,Gac
96,Gac Gonow
97,Gcb
98,Gcp4sx
99,Geely
100,Gehl
101,Genesis
102,Genie
103,Gmc
104,Godrej
105,Golden Dragon
106,Gonow
107,Gorica
108,Grand
109,Great Wall
110,Grove
111,Ham
112,Hamm
113,Hangcha
114,Harley Davidson
115,Haulotte
116,Haval
117,Heli
118,Hero Honda
119,Hidromek
120,Higer
121,Hino
122,Hitachi
123,Honda
124,Hummer
125,Hydra
126,Hyster
127,Hyundai
128,Infiniti
129,Ingersol
130,International
131,Isuzu
132,Iveco
133,J C B
134,Jac
135,Jaguar
136,Jannarelly
137,Jeep
138,Jeepney
139,Jinbei
140,Jlg
141,Jmc
142,Kato
143,Kawasaki
144,Kenworth
145,Kia
146,King
147,King Long
148,Kleeman
149,Klemm
150,Kobelco
151,Komatsu
152,Krupp
153,Ktm
154,Ktm 990
155,Ktm Adventure
156,Kylin Yzk
157,Kymco
158,Lada
159,Lamborghini
160,Land Rover
161,Lexus
162,Leyland
163,Liebherr
164,Lincoln
165,Linde
166,Liubong
167,Local
168,Lonking
169,Loraine
170,Lotus
171,Lowbed
172,Luxgen
173,M.A.N.
174,Mack
175,Mahindra
176,Mammut
177,Manitou
178,Maserati
179,Massey Ferguson
180,Maxton
181,Maxus
182,Maybach
183,Mazda
184,Mclaren
185,Mercedes Benz
186,Mercury
187,Merlo P38
188,Messy
189,Mg
190,Mini
191,Mitsubishi
192,Morgan
193,Moto Guzzi
194,Muraoka
195,Mv Agusta
196,New Holland
197,Nissan
198,Omega
199,Opel
200,P & H
201,Pagani
202,Paver
203,Peugeot
204,Polaris
205,Polarsun
206,Pontiac
207,Porsche
208,Power Plus
209,Premier
210,Proton
211,Putzmeister
212,Ram
213,Range Rover
214,Renault
215,Rolls Royce
216,Rover
217,Royal Enfield
218,Ruston Bucyrus
219,Saab
220,Samsung
221,Sandvik
222,Sany
223,Sard
224,Scania
225,Seat
226,Shantui
227,Shenlong
228,Silla
229,Sino Howo
230,Skid Steer
231,Skoda
232,Smart
233,Soilmec
234,Spyder Can Am
235,Ssangyong
236,Stavostroj
237,Still
238,Subaru
239,Sumitomo
240,Sunwin
241,Suzuki
242,T C M
243,T V R
244,Tadano
245,Tanker
246,Tata
247,Tayanma
248,Tcm
249,Tennant
250,Terex
251,Terra
252,Tesla
253,Tgb
254,Thimco
255,Thomas
256,Thwaites
257,Titan
258,Tlord
259,Toyota
260,Track
261,Trailer
262,Trans
263,Trans Mark
264,Triumph
265,Triumph Herald
266,Tvs
267,Un
268,Unknown
269,Valmar
270,Vermeer Track
271,Veryca
272,Vespa
273,Vietz Arcotrac 1800
274,Vogele
275,Volkswagen
276,Voltas
277,Volvo
278,Wacker
279,Western Star
280,Wirtgen
281,Wuzhou Long
282,Xcmg
283,Xiamen
284,Xilin
285,Yale
286,Yamaha
287,Youngman
288,Yuan Shan
289,Yutong
290,Zero
291,Zero Type 9
292,Zhengzhou Nissan
293,Zoomilon
294,Zx210h-3
