id,color
1,Yellow
2,Orange
3,Red
4,Pink
5,Violet
6,Blue
7,Green
8,Brown
9,Gray
10,Black
11,White
12,Mellow
13,Gold
14,Salmon
15,Ruby
16,Hibiscus
17,Denim
18,Forest
19,Cedar
20,Fossil
21,Cyber
22,Goldenrod
23,Scarlet
24,Ultra
25,Mauve
26,Pigeon
27,Sage
28,Cinnamon
29,Mink
30,Royal
31,Pumpkin
32,Barn Red
33,Thulian
34,Mulberry
35,Sky
36,Olive
37,Brunette
38,Pearl River
39,Trombone
40,Fire
41,Imperial
42,Magenta
43,Lavender
44,Independence
45,Lime
46,Twny
47,Abalone
48,Banana
49,Ochre
50,Indian Red
51,Rose Pink
52,Orchid
53,Air Force
54,Hunter
55,Umber
56,Harbor Gray
57,Tuscany
58,Amber
59,Chili
60,Lavender
61,Lilac
62,Baby Blue
63,Jade
64,Tortilla
65,Smoke
