id,zipcode,city,combi
1,1000,Lausanne,1000 Lausanne
2,1000,Le Chalet-Á-Gobet,1000 Le Chalet-Á-Gobet
3,1000,Montblesson,1000 Montblesson
4,1000,Vers-ch.-l.-Blanc,1000 Vers-ch.-l.-Blanc
5,1003,Lausanne,1003 Lausanne
6,1004,Lausanne,1004 Lausanne
7,1005,Lausanne,1005 Lausanne
8,1006,Lausanne,1006 Lausanne
9,1007,Lausanne,1007 Lausanne
10,1008,Jouxtens-Mézery,1008 Jouxtens-Mézery
11,1008,Prilly,1008 Prilly
12,1009,Pully,1009 Pully
13,1010,Lausanne,1010 Lausanne
14,1011,Lausanne,1011 Lausanne
15,1012,Lausanne,1012 Lausanne
16,1015,Lausanne,1015 Lausanne
17,1018,Lausanne,1018 Lausanne
18,1020,Renens VD,1020 Renens VD
19,1022,Chavannes-Renens,1022 Chavannes-Renens
20,1023,Crissier,1023 Crissier
21,1024,Ecublens VD,1024 Ecublens VD
22,1025,St-Sulpice VD,1025 St-Sulpice VD
23,1026,Denges,1026 Denges
24,1026,Echandens,1026 Echandens
25,1027,Lonay,1027 Lonay
26,1028,Préverenges,1028 Préverenges
27,1029,Villars-Ste-Croix,1029 Villars-Ste-Croix
28,1030,Bussigny,1030 Bussigny
29,1031,Mex VD,1031 Mex VD
30,1032,Romanel-s-Lausanne,1032 Romanel-s-Lausanne
31,1033,Cheseaux-Lausanne,1033 Cheseaux-Lausanne
32,1034,Boussens,1034 Boussens
33,1035,Bournens,1035 Bournens
34,1036,Sullens,1036 Sullens
35,1037,EtagniÁres,1037 EtagniÁres
36,1038,Bercher,1038 Bercher
37,1040,Echallens,1040 Echallens
38,1040,St-Barthélemy VD,1040 St-Barthélemy VD
39,1040,Villars-le-Terroir,1040 Villars-le-Terroir
40,1041,Bottens,1041 Bottens
41,1041,Dommartin,1041 Dommartin
42,1041,Montaubion-Chardon,1041 Montaubion-Chardon
43,1041,Naz,1041 Naz
44,1041,Poliez-le-Grand,1041 Poliez-le-Grand
45,1041,Poliez-Pittet,1041 Poliez-Pittet
46,1042,Assens,1042 Assens
47,1042,Bettens,1042 Bettens
48,1042,Bioley-Orjulaz,1042 Bioley-Orjulaz
49,1043,Sugnens,1043 Sugnens
50,1044,Fey,1044 Fey
51,1045,Ogens,1045 Ogens
52,1046,Rueyres,1046 Rueyres
53,1047,Oppens,1047 Oppens
54,1052,Mont-sur-Lausanne,1052 Mont-sur-Lausanne
55,1053,Bretigny-Morrens,1053 Bretigny-Morrens
56,1053,Cugy VD,1053 Cugy VD
57,1054,Morrens VD,1054 Morrens VD
58,1055,Froideville,1055 Froideville
59,1058,Villars-Tiercelin,1058 Villars-Tiercelin
60,1059,Peney-le-Jorat,1059 Peney-le-Jorat
61,1061,Villars-Mendraz,1061 Villars-Mendraz
62,1062,Sottens,1062 Sottens
63,1063,Boulens,1063 Boulens
64,1063,Chapelle-s-Moudon,1063 Chapelle-s-Moudon
65,1063,Martherenges,1063 Martherenges
66,1063,Peyres-Possens,1063 Peyres-Possens
67,1066,Epalinges,1066 Epalinges
68,1068,Les Monts-de-Pully,1068 Les Monts-de-Pully
69,1070,Puidoux,1070 Puidoux
70,1071,Chexbres,1071 Chexbres
71,1071,Rivaz,1071 Rivaz
72,1071,St-Saphorin-Lavaux,1071 St-Saphorin-Lavaux
73,1072,Forel (Lavaux),1072 Forel (Lavaux)
74,1073,Mollie-Margot,1073 Mollie-Margot
75,1073,Savigny,1073 Savigny
76,1076,Ferlens VD,1076 Ferlens VD
77,1077,Servion,1077 Servion
78,1078,Essertes,1078 Essertes
79,1080,Les Cullayes,1080 Les Cullayes
80,1081,Montpreveyres,1081 Montpreveyres
81,1082,Corcelles-le-Jorat,1082 Corcelles-le-Jorat
82,1083,MéziÁres VD,1083 MéziÁres VD
83,1084,Carrouge VD,1084 Carrouge VD
84,1085,Vulliens,1085 Vulliens
85,1088,Ropraz,1088 Ropraz
86,1090,La Croix (Lutry),1090 La Croix (Lutry)
87,1091,Aran,1091 Aran
88,1091,Chenaux,1091 Chenaux
89,1091,Grandvaux,1091 Grandvaux
90,1092,Belmont-Lausanne,1092 Belmont-Lausanne
91,1093,La Conversion,1093 La Conversion
92,1094,Paudex,1094 Paudex
93,1095,Lutry,1095 Lutry
94,1096,Cully,1096 Cully
95,1096,Villette (Lavaux),1096 Villette (Lavaux)
96,1097,Riex,1097 Riex
97,1098,Epesses,1098 Epesses
98,1110,Morges,1110 Morges
99,1112,Echichens,1112 Echichens
100,1113,St-Saphorin-Morges,1113 St-Saphorin-Morges
101,1114,Colombier VD,1114 Colombier VD
102,1115,Vullierens,1115 Vullierens
103,1116,Cottens VD,1116 Cottens VD
104,1117,Grancy,1117 Grancy
105,1121,Bremblens,1121 Bremblens
106,1122,Romanel-sur-Morges,1122 Romanel-sur-Morges
107,1123,Aclens,1123 Aclens
108,1124,Gollion,1124 Gollion
109,1125,Monnaz,1125 Monnaz
110,1126,Vaux-sur-Morges,1126 Vaux-sur-Morges
111,1127,Clarmont,1127 Clarmont
112,1128,Reverolle,1128 Reverolle
113,1131,Tolochenaz,1131 Tolochenaz
114,1132,Lully VD,1132 Lully VD
115,1134,Chigny,1134 Chigny
116,1134,Vufflens-Château,1134 Vufflens-Château
117,1135,Denens,1135 Denens
118,1136,Bussy-Chardonney,1136 Bussy-Chardonney
119,1141,Sévery,1141 Sévery
120,1142,Pampigny,1142 Pampigny
121,1143,Apples,1143 Apples
122,1144,Ballens,1144 Ballens
123,1145,BiÁre,1145 BiÁre
124,1146,Mollens VD,1146 Mollens VD
125,1147,Montricher,1147 Montricher
126,1148,Chavannes-Veyron,1148 Chavannes-Veyron
127,1148,Cuarnens,1148 Cuarnens
128,1148,La Coudre,1148 La Coudre
129,1148,La Praz,1148 La Praz
130,1148,L'Isle,1148 L'Isle
131,1148,Mauraz,1148 Mauraz
132,1148,Moiry VD,1148 Moiry VD
133,1148,Mont-la-Ville,1148 Mont-la-Ville
134,1148,Villars-Bozon,1148 Villars-Bozon
135,1149,Berolle,1149 Berolle
136,1162,St-Prex,1162 St-Prex
137,1163,Etoy,1163 Etoy
138,1164,Buchillon,1164 Buchillon
139,1165,Allaman,1165 Allaman
140,1166,Perroy,1166 Perroy
141,1167,Lussy-sur-Morges,1167 Lussy-sur-Morges
142,1168,Villars-sous-Yens,1168 Villars-sous-Yens
143,1169,Yens,1169 Yens
144,1170,Aubonne,1170 Aubonne
145,1172,Bougy-Villars,1172 Bougy-Villars
146,1173,Féchy,1173 Féchy
147,1174,Montherod,1174 Montherod
148,1174,Pizy,1174 Pizy
149,1175,Lavigny,1175 Lavigny
150,1176,St-Livres,1176 St-Livres
151,1180,Rolle,1180 Rolle
152,1180,Tartegnin,1180 Tartegnin
153,1182,Gilly,1182 Gilly
154,1183,Bursins,1183 Bursins
155,1184,Luins,1184 Luins
156,1184,Vinzel,1184 Vinzel
157,1185,Mont-sur-Rolle,1185 Mont-sur-Rolle
158,1186,Essertines-Rolle,1186 Essertines-Rolle
159,1187,St-Oyens,1187 St-Oyens
160,1188,Gimel,1188 Gimel
161,1188,St-George,1188 St-George
162,1189,Saubraz,1189 Saubraz
163,1195,Bursinel,1195 Bursinel
164,1195,Dully,1195 Dully
165,1196,Gland,1196 Gland
166,1197,Prangins,1197 Prangins
167,1201,GenÁve,1201 GenÁve
168,1202,GenÁve,1202 GenÁve
169,1203,GenÁve,1203 GenÁve
170,1204,GenÁve,1204 GenÁve
171,1205,GenÁve,1205 GenÁve
172,1206,GenÁve,1206 GenÁve
173,1207,GenÁve,1207 GenÁve
174,1208,GenÁve,1208 GenÁve
175,1209,GenÁve,1209 GenÁve
176,1212,Grand-Lancy,1212 Grand-Lancy
177,1213,Onex,1213 Onex
178,1213,Petit-Lancy,1213 Petit-Lancy
179,1214,Vernier,1214 Vernier
180,1215,GenÁve,1215 GenÁve
181,1216,Cointrin,1216 Cointrin
182,1217,Meyrin,1217 Meyrin
183,1218,Le Grand-Saconnex,1218 Le Grand-Saconnex
184,1219,AÁre,1219 AÁre
185,1219,Châtelaine,1219 Châtelaine
186,1219,Le Lignon,1219 Le Lignon
187,1220,Les Avanchets,1220 Les Avanchets
188,1222,Vésenaz,1222 Vésenaz
189,1223,Cologny,1223 Cologny
190,1224,ChÁne-Bougeries,1224 ChÁne-Bougeries
191,1225,ChÁne-Bourg,1225 ChÁne-Bourg
192,1226,Thônex,1226 Thônex
193,1227,Carouge GE,1227 Carouge GE
194,1227,Les Acacias,1227 Les Acacias
195,1228,Plan-les-Ouates,1228 Plan-les-Ouates
196,1231,Conches,1231 Conches
197,1232,Confignon,1232 Confignon
198,1233,Bernex,1233 Bernex
199,1234,Vessy,1234 Vessy
200,1236,Cartigny,1236 Cartigny
201,1237,Avully,1237 Avully
202,1239,Collex,1239 Collex
203,1241,Puplinge,1241 Puplinge
204,1242,Satigny,1242 Satigny
205,1243,Presinge,1243 Presinge
206,1244,Choulex,1244 Choulex
207,1245,Collonge-Bellerive,1245 Collonge-Bellerive
208,1246,Corsier GE,1246 Corsier GE
209,1247,AniÁres,1247 AniÁres
210,1248,Hermance,1248 Hermance
211,1251,Gy,1251 Gy
212,1252,Meinier,1252 Meinier
213,1253,Vandoeuvres,1253 Vandoeuvres
214,1254,Jussy,1254 Jussy
215,1255,Veyrier,1255 Veyrier
216,1256,Troinex,1256 Troinex
217,1257,La Croix-de-Rozon,1257 La Croix-de-Rozon
218,1258,Perly,1258 Perly
219,1260,Nyon,1260 Nyon
220,1261,Le Vaud,1261 Le Vaud
221,1261,Longirod,1261 Longirod
222,1261,Marchissy,1261 Marchissy
223,1262,Eysins,1262 Eysins
224,1263,Crassier,1263 Crassier
225,1264,St-Cergue,1264 St-Cergue
226,1265,La Cure,1265 La Cure
227,1266,Duillier,1266 Duillier
228,1267,Coinsins,1267 Coinsins
229,1267,Vich,1267 Vich
230,1268,Begnins,1268 Begnins
231,1268,Burtigny,1268 Burtigny
232,1269,Bassins,1269 Bassins
233,1270,Trélex,1270 Trélex
234,1271,Givrins,1271 Givrins
235,1272,Genolier,1272 Genolier
236,1273,Arzier,1273 Arzier
237,1273,Le Muids,1273 Le Muids
238,1274,Grens,1274 Grens
239,1274,Signy,1274 Signy
240,1275,Chéserex,1275 Chéserex
241,1276,Gingins,1276 Gingins
242,1277,Arnex-sur-Nyon,1277 Arnex-sur-Nyon
243,1277,Borex,1277 Borex
244,1278,La Rippe,1278 La Rippe
245,1279,Bogis-Bossey,1279 Bogis-Bossey
246,1279,Chavannes-de-Bogis,1279 Chavannes-de-Bogis
247,1281,Russin,1281 Russin
248,1283,Dardagny,1283 Dardagny
249,1283,La Plaine,1283 La Plaine
250,1284,Chancy,1284 Chancy
251,1285,Athenaz (Avusy),1285 Athenaz (Avusy)
252,1286,Soral,1286 Soral
253,1287,Laconnex,1287 Laconnex
254,1288,Aire-la-Ville,1288 Aire-la-Ville
255,1290,Chavannes-des-Bois,1290 Chavannes-des-Bois
256,1290,Versoix,1290 Versoix
257,1291,Commugny,1291 Commugny
258,1292,Chambésy,1292 Chambésy
259,1293,Bellevue,1293 Bellevue
260,1294,Genthod,1294 Genthod
261,1295,Mies,1295 Mies
262,1295,Tannay,1295 Tannay
263,1296,Coppet,1296 Coppet
264,1297,Founex,1297 Founex
265,1298,Céligny,1298 Céligny
266,1299,Crans-prÁs-Céligny,1299 Crans-prÁs-Céligny
267,1302,Vufflens-la-Ville,1302 Vufflens-la-Ville
268,1303,Penthaz,1303 Penthaz
269,1304,Allens,1304 Allens
270,1304,Cossonay-Ville,1304 Cossonay-Ville
271,1304,Dizy,1304 Dizy
272,1304,Senarclens,1304 Senarclens
273,1305,Penthalaz,1305 Penthalaz
274,1306,Daillens,1306 Daillens
275,1307,Lussery-Villars,1307 Lussery-Villars
276,1308,La Chaux-Cossonay,1308 La Chaux-Cossonay
277,1312,Eclépens,1312 Eclépens
278,1313,Ferreyres,1313 Ferreyres
279,1315,La Sarraz,1315 La Sarraz
280,1316,Chevilly,1316 Chevilly
281,1317,Orny,1317 Orny
282,1318,Pompaples,1318 Pompaples
283,1321,Arnex-sur-Orbe,1321 Arnex-sur-Orbe
284,1322,Croy,1322 Croy
285,1323,Romainmôtier,1323 Romainmôtier
286,1324,Premier,1324 Premier
287,1325,Vaulion,1325 Vaulion
288,1326,Juriens,1326 Juriens
289,1329,BretonniÁres,1329 BretonniÁres
290,1337,Vallorbe,1337 Vallorbe
291,1338,Ballaigues,1338 Ballaigues
292,1341,Orient,1341 Orient
293,1342,Le Pont,1342 Le Pont
294,1343,Les CharbonniÁres,1343 Les CharbonniÁres
295,1344,L'Abbaye,1344 L'Abbaye
296,1345,Le Lieu,1345 Le Lieu
297,1345,Le Séchey,1345 Le Séchey
298,1346,Les Bioux,1346 Les Bioux
299,1347,Le Sentier,1347 Le Sentier
300,1347,Le Solliat,1347 Le Solliat
301,1348,Le Brassus,1348 Le Brassus
302,1350,Orbe,1350 Orbe
303,1352,Agiez,1352 Agiez
304,1353,Bofflens,1353 Bofflens
305,1354,Montcherand,1354 Montcherand
306,1355,L'Abergement,1355 L'Abergement
307,1355,Sergey,1355 Sergey
308,1356,La Russille,1356 La Russille
309,1356,Les Clées,1356 Les Clées
310,1357,Lignerolle,1357 Lignerolle
311,1358,Valeyres-Rances,1358 Valeyres-Rances
312,1372,Bavois,1372 Bavois
313,1373,Chavornay,1373 Chavornay
314,1374,Corcelles-Chavorn,1374 Corcelles-Chavorn
315,1375,Penthéréaz,1375 Penthéréaz
316,1376,Eclagnens,1376 Eclagnens
317,1376,Goumoens-la-Ville,1376 Goumoens-la-Ville
318,1376,Goumoens-le-Jux,1376 Goumoens-le-Jux
319,1377,Oulens-Echallens,1377 Oulens-Echallens
320,1400,Cheseaux-Noréaz,1400 Cheseaux-Noréaz
321,1400,Yverdon-les-Bains,1400 Yverdon-les-Bains
322,1404,Cuarny,1404 Cuarny
323,1404,Villars-Epeney,1404 Villars-Epeney
324,1405,Pomy,1405 Pomy
325,1406,Cronay,1406 Cronay
326,1407,Bioley-Magnoux,1407 Bioley-Magnoux
327,1407,Donneloye,1407 Donneloye
328,1407,Gossens,1407 Gossens
329,1407,Mézery-Donneloye,1407 Mézery-Donneloye
330,1408,Prahins,1408 Prahins
331,1409,Chanéaz,1409 Chanéaz
332,1410,Correvon,1410 Correvon
333,1410,Denezy,1410 Denezy
334,1410,Prévondavaux,1410 Prévondavaux
335,1410,St-Cierges,1410 St-Cierges
336,1410,Thierrens,1410 Thierrens
337,1412,Ursins,1412 Ursins
338,1412,Valeyres-Ursins,1412 Valeyres-Ursins
339,1413,Orzens,1413 Orzens
340,1415,Démoret,1415 Démoret
341,1415,Molondin,1415 Molondin
342,1416,Pailly,1416 Pailly
343,1417,Epautheyres,1417 Epautheyres
344,1417,Essertines-Yverdon,1417 Essertines-Yverdon
345,1418,Vuarrens,1418 Vuarrens
346,1420,Fiez,1420 Fiez
347,1421,Fontaines-Grandson,1421 Fontaines-Grandson
348,1421,Grandevent,1421 Grandevent
349,1422,Grandson,1422 Grandson
350,1423,Fontanezier,1423 Fontanezier
351,1423,Romairon,1423 Romairon
352,1423,Vaugondry,1423 Vaugondry
353,1423,Villars-Burquin,1423 Villars-Burquin
354,1424,Champagne,1424 Champagne
355,1425,Onnens VD,1425 Onnens VD
356,1426,Concise,1426 Concise
357,1426,Corcelles-Concise,1426 Corcelles-Concise
358,1427,Bonvillars,1427 Bonvillars
359,1428,Mutrux,1428 Mutrux
360,1428,Provence,1428 Provence
361,1429,Giez,1429 Giez
362,1430,Orges,1430 Orges
363,1431,Novalles,1431 Novalles
364,1431,Vugelles-La Mothe,1431 Vugelles-La Mothe
365,1432,Belmont-Yverdon,1432 Belmont-Yverdon
366,1432,Gressy,1432 Gressy
367,1433,Suchy,1433 Suchy
368,1434,Ependes VD,1434 Ependes VD
369,1435,Essert-Pittet,1435 Essert-Pittet
370,1436,Chamblon,1436 Chamblon
371,1436,Treycovagnes,1436 Treycovagnes
372,1437,Suscévaz,1437 Suscévaz
373,1438,Mathod,1438 Mathod
374,1439,Rances,1439 Rances
375,1441,Valeyres-Montagny,1441 Valeyres-Montagny
376,1442,Montagny-Yverdon,1442 Montagny-Yverdon
377,1443,Champvent,1443 Champvent
378,1443,Essert-s-Champvent,1443 Essert-s-Champvent
379,1443,Villars-Champvent,1443 Villars-Champvent
380,1445,Vuiteboeuf,1445 Vuiteboeuf
381,1446,Baulmes,1446 Baulmes
382,1450,La Sagne VD,1450 La Sagne VD
383,1450,Le Château-Croix,1450 Le Château-Croix
384,1450,Ste-Croix,1450 Ste-Croix
385,1452,Les Rasses,1452 Les Rasses
386,1453,Bullet,1453 Bullet
387,1453,Mauborget,1453 Mauborget
388,1454,La Vraconnaz,1454 La Vraconnaz
389,1454,L'Auberson,1454 L'Auberson
390,1462,Yvonand,1462 Yvonand
391,1463,Rovray,1463 Rovray
392,1464,Chavannes-le-ChÁne,1464 Chavannes-le-ChÁne
393,1464,ChÁne-Pâquier,1464 ChÁne-Pâquier
394,1468,Cheyres,1468 Cheyres
395,1470,Bollion,1470 Bollion
396,1470,Estavayer-le-Lac,1470 Estavayer-le-Lac
397,1470,Lully FR,1470 Lully FR
398,1470,Seiry,1470 Seiry
399,1473,Châtillon FR,1473 Châtillon FR
400,1473,Font,1473 Font
401,1474,Châbles FR,1474 Châbles FR
402,1475,Autavaux,1475 Autavaux
403,1475,Forel FR,1475 Forel FR
404,1475,Montbrelloz,1475 Montbrelloz
405,1482,Cugy FR,1482 Cugy FR
406,1483,Frasses,1483 Frasses
407,1483,Montet (Broye),1483 Montet (Broye)
408,1483,Vesin,1483 Vesin
409,1484,Aumont,1484 Aumont
410,1484,Granges-de-Vesin,1484 Granges-de-Vesin
411,1485,Nuvilly,1485 Nuvilly
412,1486,Vuissens,1486 Vuissens
413,1489,Murist,1489 Murist
414,1509,Vucherens,1509 Vucherens
415,1510,Moudon,1510 Moudon
416,1510,Syens,1510 Syens
417,1512,Chavannes-s-Moudon,1512 Chavannes-s-Moudon
418,1513,Hermenches,1513 Hermenches
